,first_name,last_name,team,position
712,Cole,Bardreau,NYI, C 
713,Connor,Bunnaman,PHI, C 
714,Ryan,Poehling,MTL, C 
715,Nick,Caamano,DAL, RW
716,Adam,Johnson,PIT, C 
717,Steven,Kampfer,BOS, D 
718,Mark,Barberio,COL, D 
719,Brandon,Pirri,VGS, C 
720,Sven,Baertschi,VAN, LW
721,Tomas,Jurco,EDM, RW
722,Xavier,Ouellet,MTL, D 
723,Matthew,Peca,MTL/OTT, C 
724,Joel,Hanley,DAL, D 
725,Jacob,Middleton,SJ, D 
726,Joe,Hicketts,DET, D 
727,Zach,Senyshyn,BOS, RW
728,Michael,McLeod,NJ, C 
